Number,Country,Population,Area
1,India,"1,428,627,663","2,973,190"
2,China,"1,425,671,352","9,388,211"
3,United States,"339,996,563","9,147,420"
4,Indonesia,"277,534,122","1,811,570"
5,Pakistan,"240,485,658","770,880"
6,Nigeria,"223,804,632","910,770"
7,Brazil,"216,422,446","8,358,140"
8,Bangladesh,"172,954,319","130,170"
9,Russia,"144,444,359","16,376,870"
10,Mexico,"128,455,567","1,943,950"
11,Ethiopia,"126,527,060","1,000,000"
12,Japan,"123,294,513","364,555"
13,Philippines,"117,337,368","298,170"
14,Egypt,"112,716,598","995,450"
15,DR Congo,"102,262,808","2,267,050"
16,Vietnam,"98,858,950","310,070"
17,Iran,"89,172,767","1,628,550"
18,Turkey,"85,816,199","769,630"
19,Germany,"83,294,633","348,560"
20,Thailand,"71,801,279","510,890"
21,United Kingdom,"67,736,802","241,930"
22,Tanzania,"67,438,106","885,800"
23,France,"64,756,584","547,557"
24,South Africa,"60,414,495","1,213,090"
25,Italy,"58,870,762","294,140"
26,Kenya,"55,100,586","569,140"
27,Myanmar,"54,577,997","653,290"
28,Colombia,"52,085,168","1,109,500"
29,South Korea,"51,784,059","97,230"
30,Uganda,"48,582,334","199,810"
31,Sudan,"48,109,006","1,765,048"
32,Spain,"47,519,628","498,800"
33,Argentina,"45,773,884","2,736,690"
34,Algeria,"45,606,480","2,381,740"
35,Iraq,"45,504,560","434,320"
36,Afghanistan,"42,239,854","652,860"
37,Poland,"41,026,067","306,230"
38,Canada,"38,781,291","9,093,510"
39,Morocco,"37,840,044","446,300"
40,Saudi Arabia,"36,947,025","2,149,690"
41,Ukraine,"36,744,634","579,320"
42,Angola,"36,684,202","1,246,700"
43,Uzbekistan,"35,163,944","425,400"
44,Yemen,"34,449,825","527,970"
45,Peru,"34,352,719","1,280,000"
46,Malaysia,"34,308,525","328,550"
47,Ghana,"34,121,985","227,540"
48,Mozambique,"33,897,354","786,380"
49,Nepal,"30,896,590","143,350"
50,Madagascar,"30,325,732","581,795"
51,Côte d'Ivoire,"28,873,034","318,000"
52,Venezuela,"28,838,499","882,050"
53,Cameroon,"28,647,293","472,710"
54,Niger,"27,202,843","1,266,700"
55,Australia,"26,439,111","7,682,300"
56,North Korea,"26,160,821","120,410"
57,Taiwan,"23,923,276","35,410"
58,Mali,"23,293,698","1,220,190"
59,Burkina Faso,"23,251,485","273,600"
60,Syria,"23,227,014","183,630"
61,Sri Lanka,"21,893,579","62,710"
62,Malawi,"20,931,751","94,280"
63,Zambia,"20,569,737","743,390"
64,Romania,"19,892,812","230,170"
65,Chile,"19,629,590","743,532"
66,Kazakhstan,"19,606,633","2,699,700"
67,Chad,"18,278,568","1,259,200"
68,Ecuador,"18,190,484","248,360"
69,Somalia,"18,143,378","627,340"
70,Guatemala,"18,092,026","107,160"
71,Senegal,"17,763,163","192,530"
72,Netherlands,"17,618,299","33,720"
73,Cambodia,"16,944,826","176,520"
74,Zimbabwe,"16,665,409","386,850"
75,Guinea,"14,190,612","245,720"
76,Rwanda,"14,094,683","24,670"
77,Benin,"13,712,828","112,760"
78,Burundi,"13,238,559","25,680"
79,Tunisia,"12,458,223","155,360"
80,Bolivia,"12,388,571","1,083,300"
81,Haiti,"11,724,763","27,560"
